Title, Uploader, Date, URL
"How to Give a Great Research Talk", "Microsoft Research", "Jul 27, 2016", https://www.youtube.com/watch?v=sT_-owjKIbA
"How to Write a Great Research Paper", "Microsoft Research", "Jul 27, 2016", https://www.youtube.com/watch?v=VK51E3gHENc
